plot_name	sample_name	colony_points	ground_elevation	overhang_prop	outcrop_prop	environment_rugosity	colony_radius	environment_radius
CA05	KP0409_AC_CA05	767	109.4229415	0	0.741599779	1.567749602	0.038422794	0.1
CA05	KP0413_HU_CA05	615	4.59906885	0	0.452970864	1.525419552	0.04144743	0.1
CA05	KP0414_HU_CA05	108	97.84623817	0.171334528	0.488908152	1.401538189	0.01598585	0.1
CA05	KP0415_HU_CA05	218	17.41180955	0	0.552424705	1.728908101	0.021679914	0.1
CA05	KP0417_HU_CA05	73	15.3958314	0	0.899314226	1.432647348	0.012800059	0.1
CA05	KP0418_HU_CA05	121	56.73375369	0.007759938	0.656912668	1.703001148	0.015623073	0.1
CA05	KP0419_HU_CA05	123	57.03415314	0.322100684	0.533228447	1.665117499	0.015446798	0.1
CA05	KP0424_AC_CA05	1183	47.11873215	0	0.80297373	1.624527817	0.053911536	0.1
CA05	KP0426_HU_CA05	303	69.99788408	0	0.754636187	1.73943792	0.027047408	0.1
CA05	KP0432_HU_CA05	138	52.25465877	0.101826293	0.50492348	2.321670128	0.017281002	0.1
CA05	KP0433_AC_CA05	57078	20.9075031	0.000706851	0.715586143	2.175205217	0.291162198	0.1
CA05	KP0434_HU_CA05	364	58.86086057	1.018024524	0.475671221	1.96583799	0.028186064	0.1
CA05	KP0435_HU_CA05	1007	80.49483221	0.76789401	0.478656184	1.984889312	0.043066601	0.1
CA05	KP0436_HU_CA05	93	65.16174038	0.076383897	0.653383738	1.80291776	0.015250496	0.1
CA05	KP0439_HU_CA05	196	4.334470268	0	0.399501054	1.871717783	0.024221622	0.1
CA05	KP0440_HU_CA05	1409	49.93745978	0	0.822498489	1.662607338	0.052379099	0.1
CA05	KP0441_AC_CA05	389	101.4278908	0	0.531983201	1.679239676	0.031691676	0.1
CA05	KP0442_HU_CA05	242	31.38820462	0	0.82059436	1.509339731	0.022961929	0.1
WP20	KP0450_AC_WP20	5811	43.10929556	0.040705435	0.413517911	1.801117614	0.125069273	0.1
WP20	KP0454_AC_WP20	19916	85.19682745	0.002528611	0.699898491	3.095002431	0.160904927	0.1
WP20	KP0459_LM_WP20	10991	17.64929503	0.115336716	0.502818404	1.544230846	0.160480317	0.1
WP20	KP0461_AC_WP20	373	50.83382023	0.041071597	0.68062886	1.961708934	0.026968434	0.1
WP20	KP0462_AC_WP20	992	35.13789357	0.011196396	0.488549482	2.054919988	0.061730118	0.1
WP20	KP0463_AC_WP20	823	48.02878188	0.002140359	0.816182671	1.978264823	0.049244283	0.1
WP20	KP0464_AC_WP20	6458	44.22435785	0.361921769	0.436138948	1.940325097	0.121609829	0.1
WP20	KP0467_AC_WP20	6169	27.3904578	0	0.789644726	3.092294701	0.100126868	0.1
WP20	KP0468_AC_WP20	1707	81.56771891	0.20017653	0.530532805	2.687135282	0.056622137	0.1
